Артикул,Пристрій,Клас,К-ть пропозицій,Найкраща ціна $,Постачальник,Всі пропозиції
U.009.000-016,AirPods Max,АКБ з калібруванням,0,,,
U.108.000-001,AirPods Max,Шлейф шарніра правий,0,,,
U.100.000-001,AirPods Pro 2,Амбушури,0,,,
U.008.000-008,Apple IPhone 11,АКБ без калібрування,5,5.68,ocapro,5.68$ ocapro (Опт — Акумулятор iPhone 11 ORIG Банка 3110 mAh стандарт) | 6.0$ icracked (Банка (АКБ без контроллера)) | 6.12$ ocapro (Роздріб — Акумулятор iPhone 11 ORIG Банка 3110 mAh стандарт) | 6.82$ ocapro (Опт — Акумулятор iPhone 11 ORIG Банка підвищена ємність 3660 mAh) | 7.3$ ocapro (Роздріб — Акумулятор iPhone 11 ORIG Банка підвищена ємність 3660 mAh)
U.009.000-075,Apple IPhone 11,АКБ з калібруванням,2,10.58,ocapro,10.58$ ocapro (Опт — Акумулятор iPhone 11 ORIG 3660 mAh) | 11.33$ ocapro (Роздріб — Акумулятор iPhone 11 ORIG 3660 mAh)
U.009.000-092,iPhone 15 Pro,АКБ з калібруванням,5,13.63,ocapro,13.63$ ocapro (Опт — Акумулятор iPhone 15 PRO ORIG 3480 mAh) | 14.6$ ocapro (Роздріб — Акумулятор iPhone 15 PRO ORIG 3480 mAh) | 16.62$ ocapro (Опт — Акумулятор iPhone 15 Pro ORIG IOS 18/26 без помилки 3480 mAh) | 17.73$ ocapro (Роздріб — Акумулятор iPhone 15 Pro ORIG IOS 18/26 без помилки 3480 mAh) | 36.0$ icracked (Посилена 💪🏼З лого🍏 Genuine batteries ✅ Оригінальна деталь 100% - 0 циклів)
U.019.000-011,Apple IPhone 11,Шлейф з датчиком наближення,0,,,
U.019.000-010,Apple IPhone 11 Pro,Шлейф з датчиком наближення,0,,,
U.061.000-034,Apple IPhone 11 Pro,Скло дисплейного модулю,15,1.8,refparts,1.8$ refparts (Великий опт — Скло+ОСА G+OCA pro iPhone 11 Pro) | 1.8$ refparts (Великий опт — Скло+ОСА MUSTTBY iPhone 11 Pro) | 1.85$ refparts (Середній опт — Скло+ОСА G+OCA pro iPhone 11 Pro) | 1.85$ refparts (Середній опт — Скло+ОСА MUSTTBY iPhone 11 Pro) | 1.88$ ocapro (Опт — Скло дисплея iPhone 11 Pro ORIG 1:1) | 1.88$ ocapro (Опт — Скло дисплея iPhone 11 Pro+OCA 1:1) | 1.9$ refparts (Дрібний опт — Скло+ОСА G+OCA pro iPhone 11 Pro) | 1.9$ refparts (Дрібний опт — Скло+ОСА MUSTTBY iPhone 11 Pro) | 2.01$ ocapro (Роздріб — Скло дисплея iPhone 11 Pro ORIG 1:1) | 2.01$ ocapro (Роздріб — Скло дисплея iPhone 11 Pro+OCA 1:1) | 2.1$ refparts (Великий опт — Скло+ОСА Feaglet iPhone 11 Pro) | 2.15$ refparts (Середній опт — Скло+ОСА Feaglet iPhone 11 Pro) | 2.2$ refparts (Дрібний опт — Скло+ОСА Feaglet iPhone 11 Pro) | 2.4$ ocapro (Опт — скло дисплея iPhone 11 PRO + T-OCA 125u ORIG 1:1) | 2.55$ ocapro (Роздріб — скло дисплея iPhone 11 PRO + T-OCA 125u ORIG 1:1)
U.061.000-036,Apple IPhone 12,Скло дисплейного модулю,0,,,
